             state   cases  deaths  totalarea    density       pop
0          Alabama   83782    1538      52420    96.9221   4908620
1           Alaska    3440      20     665384     1.2863    734002
2          Arizona  168361    3470     113990    64.9549   7378490
3         Arkansas   40968     434      53179    58.4030   3039000
4       California  487855    8908     163696   256.3728  39937500
5         Colorado   45885    1826     104094    56.4012   5845530
6      Connecticut   49540    4425       5543   735.8695   3563080
7         Delaware   14602     581       2489   504.3073    982895
9          Florida  451415    6332      65758   410.1259  21993000
10         Georgia  163547    3566      59425   186.6726  10736100
12          Hawaii    1842      25      10932   219.9424   1412690
13           Idaho   19810     176      83569    22.0970   1826160
14        Illinois  176967    7661      57914   228.0246  12659700
15         Indiana   65918    2932      36420   188.2809   6745350
16            Iowa   43623     854      56273    56.9284   3179850
17          Kansas   27177     349      82278    35.5968   2910360
18        Kentucky   29479     746      40408   113.9566   4499690
19       Louisiana  112887    3883      52378   107.5174   4645180
20           Maine    3866     121      35380    43.6336   1345790
21        Maryland   86846    3478      12406   626.6735   6083120
22   Massachusetts  116684    8580      10554   894.4359   6976600
23        Michigan   89026    6426      96714   177.6650  10045000
24       Minnesota   52987    1629      86936    71.5922   5700670
25     Mississippi   55804    1563      48432    63.7056   2989260
26        Missouri   47683    1269      69707    89.7453   6169270
27         Montana    3695      54     147040     7.4668   1086760
28        Nebraska   25547     331      77348    25.4161   1952570
29          Nevada   45937     782     110572    28.5993   3139660
30   New Hampshire    6513     411       9349   153.1610   1371250
31      New Jersey  182475   15798       8723  1215.1985   8936570
32      New Mexico   20136     632     121590    17.2850   2096640
33        New York  418302   32342      54555   412.5218  19440500
34  North Carolina  118100    1889      53819   218.2710  10611900
35    North Dakota    6231     106      70698    11.0393    761723
37            Ohio   87893    3422      44826   287.5040  11747700
38        Oklahoma   34605     523      69899    57.6546   3954820
39          Oregon   17805     313      98379    44.8086   4301090
40    Pennsylvania  114984    7219      46054   286.5454  12820900
42    Rhode Island   18800    1007       1545  1021.4313   1056160
43  South Carolina   85846    1615      32020   173.3176   5210100
44    South Dakota    8641     129      77116    11.9116    903027
45       Tennessee   98145    1008      42144   167.2749   6897580
46           Texas  421817    6831     268596   112.8204  29472300
47            Utah   39339     297      84897    39.9430   3282120
48         Vermont    1406      56       9616    68.1416    628061
50        Virginia   87993    2125      42775   218.4404   8626210
51      Washington   57300    1643      71298   117.3273   7797100
52   West Virginia    6326     112      24230    73.9691   1778070
53       Wisconsin   55119     920      65496   108.0496   5851750
54         Wyoming    2628      26      97813     5.8400    567025
